id,speed,altitude,battery,heading
Log_71,12.0,296.1,68.0,357
Log_72,18.8,319.7,67.6,232
Log_73,24.5,160.3,67.2,170
Log_74,12.3,344.4,66.7,338
Log_75,17.3,169.9,66.2,229
Log_76,25.2,197.4,65.8,111
Log_77,15.6,367.8,65.3,110
Log_78,18.8,185.3,64.9,167
Log_79,25.1,265.3,64.4,102
Log_80,9.4,194.0,64.0,88
Log_81,13.5,287.0,63.5,337
Log_82,21.7,252.1,63.1,14
Log_83,22.2,307.7,62.6,213
Log_84,17.6,219.8,62.2,0
Log_85,21.4,323.2,61.8,123
Log_86,25.6,290.3,61.3,24
Log_87,10.9,280.4,60.9,169
Log_88,18.6,299.9,60.4,216
Log_89,8.5,159.9,59.9,191
Log_90,23.5,312.1,59.5,115
Log_91,12.9,194.1,59.0,163
Log_92,23.9,262.3,58.6,1
Log_93,17.2,162.9,58.1,111
Log_94,13.7,149.5,57.7,189
Log_95,15.9,227.8,57.2,201
Log_96,13.7,119.2,56.8,234
Log_97,11.7,338.6,56.4,25
Log_98,21.0,356.7,55.9,338
Log_99,16.0,317.2,55.4,218
Log_100,22.4,112.0,55.0,240
Log_101,18.8,108.2,54.5,206
Log_102,23.1,355.3,54.1,131
Log_103,22.8,205.9,53.6,224
Log_104,23.9,157.6,53.2,1
Log_105,22.8,254.5,52.8,82
Log_106,21.2,241.8,52.3,267
Log_107,22.6,225.9,51.9,349
Log_108,22.7,156.6,51.4,171
Log_109,15.5,139.4,50.9,114
Log_110,8.7,183.1,50.5,331
Log_111,23.0,179.7,50.0,261
Log_112,25.5,323.3,49.6,226
Log_113,23.8,342.9,49.1,270
Log_114,13.0,228.4,48.7,152
Log_115,15.1,330.6,48.2,263
Log_116,11.7,368.1,47.8,24
Log_117,8.9,238.0,47.4,143
Log_118,25.6,204.2,46.9,17
Log_119,14.8,285.5,46.4,46
Log_120,24.2,120.8,46.0,333
Log_121,21.8,326.0,45.5,221
Log_122,22.0,272.7,45.1,156
Log_123,12.0,346.2,44.6,168
Log_124,16.3,147.0,44.2,358
Log_125,8.7,276.9,43.8,328
Log_126,11.7,114.9,43.3,259
Log_127,10.2,211.5,42.9,330
Log_128,12.4,318.9,42.4,130
Log_129,19.7,253.8,41.9,114
Log_130,17.0,326.4,41.5,305
Log_131,13.6,123.5,41.0,112
Log_132,8.1,93.3,40.6,318
Log_133,19.6,280.5,40.1,22
Log_134,15.6,202.6,39.7,183
Log_135,26.0,345.9,39.2,258
Log_136,24.7,317.7,38.8,333
Log_137,20.6,213.4,38.4,101
Log_138,10.7,266.6,37.9,329
Log_139,22.0,91.3,37.4,165
Log_140,15.5,248.7,37.0,79
Log_141,10.4,330.4,36.5,19
Log_142,23.1,233.7,36.1,330
Log_143,25.9,88.0,35.6,304
Log_144,18.8,236.2,35.2,240
Log_145,22.7,284.6,34.8,44
Log_146,24.3,304.2,34.3,61
Log_147,17.6,205.9,33.8,110
Log_148,10.3,280.0,33.4,154
Log_149,16.2,206.9,33.0,188
Log_150,16.1,89.8,32.5,21
Log_151,13.6,192.1,32.0,160
Log_152,25.3,237.1,31.6,183
Log_153,20.1,252.4,31.1,148
Log_154,8.0,337.9,30.7,209
Log_155,19.3,343.9,30.2,26
Log_156,24.8,301.2,29.8,65
Log_157,25.0,298.6,29.3,195
Log_158,14.2,130.0,28.9,246
Log_159,20.6,143.8,28.5,68
Log_160,23.2,127.5,28.0,64
Log_161,18.0,136.8,27.5,90
Log_162,8.7,310.7,27.1,331
Log_163,15.1,146.7,26.6,238
Log_164,9.5,274.8,26.2,187
Log_165,13.5,279.2,25.8,165
Log_166,17.6,118.8,25.3,63
Log_167,10.5,155.6,24.8,255
Log_168,23.2,286.7,24.4,298
Log_169,8.7,301.1,24.0,355
Log_170,20.3,339.9,23.5,304
Log_171,17.6,97.0,23.0,281
Log_172,24.2,222.1,22.6,241
Log_173,17.3,177.4,22.1,150
Log_174,24.7,118.9,21.7,307
Log_175,16.7,148.1,21.2,282
Log_176,20.7,124.3,20.8,161
Log_177,9.9,283.7,20.3,238
Log_178,25.3,143.0,19.9,166
Log_179,12.0,90.2,19.5,158
Log_180,17.7,246.9,19.0,242
Log_181,11.6,353.4,18.5,55
Log_182,20.3,87.0,18.1,97
Log_183,20.1,348.4,17.6,335
Log_184,24.4,240.5,17.2,61
Log_185,20.7,113.9,16.8,187
Log_186,17.8,345.6,16.3,49
Log_187,14.3,361.0,15.8,261
Log_188,19.9,371.2,15.4,226
Log_189,12.9,322.9,15.0,172
Log_190,16.8,125.3,14.5,176
Log_191,24.6,98.1,14.0,12
Log_192,21.6,356.5,13.6,176
Log_193,8.2,262.1,13.1,170
Log_194,18.2,320.3,12.7,352
Log_195,16.6,213.9,12.2,250
Log_196,9.9,243.2,11.8,168
Log_197,21.2,321.1,11.3,322
Log_198,9.7,144.8,10.9,139
Log_199,12.2,260.8,10.5,147
